player_id,active_days,total_recharge,total_profit,total_bet,burn_per_day,loss_pct,first_active,last_active,vip_level,lifetime_recharge,lifetime_withdraw,pr_group
30913654,7,4550.00,-20228.00,165291.50,2889.71,444.6,2026-01-25,2026-01-31,0,0.00,0.00,PR95+_fastest
75304333,5,3000.00,-14418.20,17743.00,2883.64,480.6,2026-01-01,2026-01-26,0,0.00,0.00,PR95+_fastest
11656950,11,20500.00,-31615.97,306159.38,2874.18,154.2,2026-01-01,2026-01-18,0,0.00,0.00,PR95+_fastest
37093826,1,500.00,-2871.44,6595.00,2871.44,574.3,2026-01-17,2026-01-17,0,0.00,0.00,PR95+_fastest
69528440,1,1000.00,-2843.00,5613.50,2843.00,284.3,2026-01-05,2026-01-05,0,0.00,0.00,PR95+_fastest
64772007,1,500.00,-2841.70,8441.00,2841.70,568.3,2026-01-26,2026-01-26,0,0.00,0.00,PR95+_fastest
24203927,1,2000.00,-2838.00,14282.00,2838.00,141.9,2026-01-08,2026-01-08,0,0.00,0.00,PR95+_fastest
48044904,4,6000.00,-11319.20,11889.00,2829.80,188.7,2026-01-02,2026-01-18,0,0.00,0.00,PR95+_fastest
87432112,1,500.00,-2821.80,2141.00,2821.80,564.4,2026-01-17,2026-01-17,0,0.00,0.00,PR95+_fastest
51243743,13,7200.00,-36160.49,242978.40,2781.58,502.2,2026-01-01,2026-01-30,0,0.00,0.00,PR95+_fastest
96255145,1,2000.00,-2778.93,4980.00,2778.93,138.9,2026-01-28,2026-01-28,0,0.00,0.00,PR95+_fastest
30436560,4,1000.00,-11073.18,22861.00,2768.30,1107.3,2026-01-13,2026-01-30,0,0.00,0.00,PR95+_fastest
59955558,5,600.00,-13814.82,99479.48,2762.96,2302.5,2026-01-06,2026-01-19,0,0.00,0.00,PR95+_fastest
27927215,4,10100.00,-11041.78,114456.60,2760.45,109.3,2026-01-13,2026-01-16,0,0.00,0.00,PR95+_fastest
90820200,1,500.00,-2717.00,9265.00,2717.00,543.4,2026-01-30,2026-01-30,0,0.00,0.00,PR95+_fastest
65834723,2,300.00,-5385.30,7735.50,2692.65,1795.1,2026-01-12,2026-01-13,0,0.00,0.00,PR95+_fastest
42219621,15,13800.00,-40303.15,159850.00,2686.88,292.1,2026-01-05,2026-01-27,0,0.00,0.00,PR95+_fastest
